x,y,Exact,Numeric,Error
0,0,0,-0,0
0.020202,0,0,-0,0
0.040404,0,0,-0,0
0.0606061,0,0,-0,0
0.0808081,0,0,-0,0
0.10101,0,0,-0,0
0.121212,0,0,-0,0
0.141414,0,0,-0,0
0.161616,0,0,-0,0
0.181818,0,0,-0,0
0.20202,0,0,-0,0
0.222222,0,0,-0,0
0.242424,0,0,-0,0
0.262626,0,0,-0,0
0.282828,0,0,-0,0
0.30303,0,0,-0,0
0.323232,0,0,-0,0
0.343434,0,0,-0,0
0.363636,0,0,-0,0
0.383838,0,0,-0,0
0.40404,0,0,-0,0
0.424242,0,0,-0,0
0.444444,0,0,-0,0
0.464646,0,0,-0,0
0.484848,0,0,-0,0
1.51515,0,-0,-0,0
1.53535,0,-0,-0,0
1.55556,0,-0,-0,0
1.57576,0,-0,-0,0
1.59596,0,-0,-0,0
1.61616,0,-0,-0,0
1.63636,0,-0,-0,0
1.65657,0,-0,-0,0
1.67677,0,-0,-0,0
1.69697,0,-0,-0,0
1.71717,0,-0,-0,0
1.73737,0,-0,-0,0
1.75758,0,-0,-0,0
1.77778,0,-0,-0,0
1.79798,0,-0,-0,0
1.81818,0,-0,-0,0
1.83838,0,-0,-0,0
1.85859,0,-0,-0,0
1.87879,0,-0,-0,0
1.89899,0,-0,-0,0
1.91919,0,-0,-0,0
1.93939,0,-0,-0,0
1.9596,0,-0,-0,0
1.9798,0,-0,-0,0
2,0,-0,-0,0
0,0.0252525,0,-0,0
0.020202,0.0252525,0.0050369,-0,0.0050369
0.040404,0.0252525,0.0100535,-0,0.0100535
0.0606061,0.0252525,0.0150297,-0,0.0150297
0.0808081,0.0252525,0.0199453,-0,0.0199453
0.10101,0.0252525,0.0247806,-0,0.0247806
0.121212,0.0252525,0.0295161,-0,0.0295161
0.141414,0.0252525,0.0341328,-0,0.0341328
0.161616,0.0252525,0.038612,-0,0.038612
0.181818,0.0252525,0.0429357,-0,0.0429357
0.20202,0.0252525,0.0470866,-0,0.0470866
0.222222,0.0252525,0.0510479,-0,0.0510479
0.242424,0.0252525,0.0548036,-0,0.0548036
0.262626,0.0252525,0.0583386,-0,0.0583386
0.282828,0.0252525,0.0616388,-0,0.0616388
0.30303,0.0252525,0.0646907,-0,0.0646907
0.323232,0.0252525,0.0674821,-0,0.0674821
0.343434,0.0252525,0.0700018,-0,0.0700018
0.363636,0.0252525,0.0722397,-0,0.0722397
0.383838,0.0252525,0.0741867,-0,0.0741867
0.40404,0.0252525,0.0758349,-0,0.0758349
0.424242,0.0252525,0.0771778,-0,0.0771778
0.444444,0.0252525,0.0782099,-0,0.0782099
0.464646,0.0252525,0.0789271,-0,0.0789271
0.484848,0.0252525,0.0793264,-0,0.0793264
1.51515,0.0252525,-0.0793264,-0,0.0793264
1.53535,0.0252525,-0.0789271,-0,0.0789271
1.55556,0.0252525,-0.0782099,-0,0.0782099
1.57576,0.0252525,-0.0771778,-0,0.0771778
1.59596,0.0252525,-0.0758349,-0,0.0758349
1.61616,0.0252525,-0.0741867,-0,0.0741867
1.63636,0.0252525,-0.0722397,-0,0.0722397
1.65657,0.0252525,-0.0700018,-0,0.0700018
1.67677,0.0252525,-0.0674821,-0,0.0674821
1.69697,0.0252525,-0.0646907,-0,0.0646907
1.71717,0.0252525,-0.0616388,-0,0.0616388
1.73737,0.0252525,-0.0583386,-0,0.0583386
1.75758,0.0252525,-0.0548036,-0,0.0548036
1.77778,0.0252525,-0.0510479,-0,0.0510479
1.79798,0.0252525,-0.0470866,-0,0.0470866
1.81818,0.0252525,-0.0429357,-0,0.0429357
1.83838,0.0252525,-0.038612,-0,0.038612
1.85859,0.0252525,-0.0341328,-0,0.0341328
1.87879,0.0252525,-0.0295161,-0,0.0295161
1.89899,0.0252525,-0.0247806,-0,0.0247806
1.91919,0.0252525,-0.0199453,-0,0.0199453
1.93939,0.0252525,-0.0150297,-0,0.0150297
1.9596,0.0252525,-0.0100535,-0,0.0100535
1.9798,0.0252525,-0.0050369,-0,0.0050369
2,0.0252525,-1.00695e-15,-0,1.00695e-15
0,0.0505051,0,-0,0
0.020202,0.0505051,0.0101055,-0,0.0101055
0.040404,0.0505051,0.0201703,-0,0.0201703
0.0606061,0.0505051,0.0301539,-0,0.0301539
0.0808081,0.0505051,0.0400161,-0,0.0400161
0.10101,0.0505051,0.0497172,-0,0.0497172
0.121212,0.0505051,0.059218,-0,0.059218
0.141414,0.0505051,0.0684805,-0,0.0684805
0.161616,0.0505051,0.0774671,-0,0.0774671
0.181818,0.0505051,0.0861419,-0,0.0861419
0.20202,0.0505051,0.0944697,-0,0.0944697
0.222222,0.0505051,0.102417,-0,0.102417
0.242424,0.0505051,0.109952,-0,0.109952
0.262626,0.0505051,0.117045,-0,0.117045
0.282828,0.0505051,0.123666,-0,0.123666
0.30303,0.0505051,0.129789,-0,0.129789
0.323232,0.0505051,0.135389,-0,0.135389
0.343434,0.0505051,0.140444,-0,0.140444
0.363636,0.0505051,0.144934,-0,0.144934
0.383838,0.0505051,0.14884,-0,0.14884
0.40404,0.0505051,0.152147,-0,0.152147
0.424242,0.0505051,0.154842,-0,0.154842
0.444444,0.0505051,0.156912,-0,0.156912
0.464646,0.0505051,0.158351,-0,0.158351
0.484848,0.0505051,0.159152,-0,0.159152
1.51515,0.0505051,-0.159152,-0,0.159152
1.53535,0.0505051,-0.158351,-0,0.158351
1.55556,0.0505051,-0.156912,-0,0.156912
1.57576,0.0505051,-0.154842,-0,0.154842
1.59596,0.0505051,-0.152147,-0,0.152147
1.61616,0.0505051,-0.14884,-0,0.14884
1.63636,0.0505051,-0.144934,-0,0.144934
1.65657,0.0505051,-0.140444,-0,0.140444
1.67677,0.0505051,-0.135389,-0,0.135389
1.69697,0.0505051,-0.129789,-0,0.129789
1.71717,0.0505051,-0.123666,-0,0.123666
1.73737,0.0505051,-0.117045,-0,0.117045
1.75758,0.0505051,-0.109952,-0,0.109952
1.77778,0.0505051,-0.102417,-0,0.102417
1.79798,0.0505051,-0.0944697,-0,0.0944697
1.81818,0.0505051,-0.0861419,-0,0.0861419
1.83838,0.0505051,-0.0774671,-0,0.0774671
1.85859,0.0505051,-0.0684805,-0,0.0684805
1.87879,0.0505051,-0.059218,-0,0.059218
1.89899,0.0505051,-0.0497172,-0,0.0497172
1.91919,0.0505051,-0.0400161,-0,0.0400161
1.93939,0.0505051,-0.0301539,-0,0.0301539
1.9596,0.0505051,-0.0201703,-0,0.0201703
1.9798,0.0505051,-0.0101055,-0,0.0101055
2,0.0505051,-2.02025e-15,-0,2.02025e-15
0,0.0757576,0,-0,0
0.020202,0.0757576,0.0152378,-0,0.0152378
0.040404,0.0757576,0.0304142,-0,0.0304142
0.0606061,0.0757576,0.0454681,-0,0.0454681
0.0808081,0.0757576,0.060339,-0,0.060339
0.10101,0.0757576,0.0749669,-0,0.0749669
0.121212,0.0757576,0.0892929,-0,0.0892929
0.141414,0.0757576,0.103259,-0,0.103259
0.161616,0.0757576,0.11681,-0,0.11681
0.181818,0.0757576,0.12989,-0,0.12989
0.20202,0.0757576,0.142448,-0,0.142448
0.222222,0.0757576,0.154431,-0,0.154431
0.242424,0.0757576,0.165793,-0,0.165793
0.262626,0.0757576,0.176488,-0,0.176488
0.282828,0.0757576,0.186471,-0,0.186471
0.30303,0.0757576,0.195704,-0,0.195704
0.323232,0.0757576,0.204149,-0,0.204149
0.343434,0.0757576,0.211772,-0,0.211772
0.363636,0.0757576,0.218542,-0,0.218542
0.383838,0.0757576,0.224432,-0,0.224432
0.40404,0.0757576,0.229418,-0,0.229418
0.424242,0.0757576,0.23348,-0,0.23348
0.444444,0.0757576,0.236603,-0,0.236603
0.464646,0.0757576,0.238772,-0,0.238772
0.484848,0.0757576,0.239981,-0,0.239981
1.51515,0.0757576,-0.239981,-0,0.239981
1.53535,0.0757576,-0.238772,-0,0.238772
1.55556,0.0757576,-0.236603,-0,0.236603
1.57576,0.0757576,-0.23348,-0,0.23348
1.59596,0.0757576,-0.229418,-0,0.229418
1.61616,0.0757576,-0.224432,-0,0.224432
1.63636,0.0757576,-0.218542,-0,0.218542
1.65657,0.0757576,-0.211772,-0,0.211772
1.67677,0.0757576,-0.204149,-0,0.204149
1.69697,0.0757576,-0.195704,-0,0.195704
1.71717,0.0757576,-0.186471,-0,0.186471
1.73737,0.0757576,-0.176488,-0,0.176488
1.75758,0.0757576,-0.165793,-0,0.165793
1.77778,0.0757576,-0.154431,-0,0.154431
1.79798,0.0757576,-0.142448,-0,0.142448
1.81818,0.0757576,-0.12989,-0,0.12989
1.83838,0.0757576,-0.11681,-0,0.11681
1.85859,0.0757576,-0.103259,-0,0.103259
1.87879,0.0757576,-0.0892929,-0,0.0892929
1.89899,0.0757576,-0.0749669,-0,0.0749669
1.91919,0.0757576,-0.060339,-0,0.060339
1.93939,0.0757576,-0.0454681,-0,0.0454681
1.9596,0.0757576,-0.0304142,-0,0.0304142
1.9798,0.0757576,-0.0152378,-0,0.0152378
2,0.0757576,-3.04627e-15,-0,3.04627e-15
0,0.10101,0,-0,0
0.020202,0.10101,0.020466,-0,0.020466
0.040404,0.10101,0.0408495,-0,0.0408495
0.0606061,0.10101,0.0610686,-0,0.0610686
0.0808081,0.10101,0.0810418,-0,0.0810418
0.10101,0.10101,0.100689,-0,0.100689
0.121212,0.10101,0.11993,-0,0.11993
0.141414,0.10101,0.138689,-0,0.138689
0.161616,0.10101,0.156889,-0,0.156889
0.181818,0.10101,0.174457,-0,0.174457
0.20202,0.10101,0.191323,-0,0.191323
0.222222,0.10101,0.207418,-0,0.207418
0.242424,0.10101,0.222678,-0,0.222678
0.262626,0.10101,0.237042,-0,0.237042
0.282828,0.10101,0.250451,-0,0.250451
0.30303,0.10101,0.262852,-0,0.262852
0.323232,0.10101,0.274194,-0,0.274194
0.343434,0.10101,0.284432,-0,0.284432
0.363636,0.10101,0.293525,-0,0.293525
0.383838,0.10101,0.301436,-0,0.301436
